ID,source,location,region,harvest,rhytisma,days,lnpAFDMR,AFDMR
4973,Elwha B,1,Tributary,2,1,37,3.964132934,51.67457725
3043,Elwha C,1,Tributary,1,1,16,4.228099382,67.586751
4128,Elwha E,1,Tributary,1,0,16,4.189583691,64.9953108
6015,Elwha A,1,Tributary,1,1,16,4.102332988,59.4812251
7028,Elwha D,1,Tributary,1,1,16,4.196724081,65.46822946
2884,Elwha C,1,Tributary,2,0,37,4.083019433,58.32432552
3518,Elwha D,1,Tributary,2,0,37,4.034780381,55.5305037
4895,Elwha B,1,Tributary,1,0,16,4.43902977,83.69273037
5155,Elwha E,1,Tributary,2,1,37,4.012577615,54.28920132
5788,Elwha A,1,Tributary,2,0,37,3.865591263,46.73148595
1179,Elwha E,1,Tributary,3,0,44,4.096535582,59.13160531
1803,Elwha C,1,Tributary,3,0,44,3.871522354,47.01542695
1932,Elwha A,1,Tributary,3,0,44,3.850007032,45.99339369
3788,Elwha D,1,Tributary,3,1,44,3.869581036,46.92230415
2715,Elwha B,1,Tributary,3,4,44,3.889274788,47.87542862
2145,Elwha D,2,Tributary,1,0,17,4.375342789,78.46707532
4451,Elwha B,2,Tributary,1,0,17,4.341962021,75.85818888
4725,Elwha A,2,Tributary,1,0,17,4.271609075,70.63681193
7997,Elwha C,2,Tributary,1,0,17,4.334630805,75.2967853
16 (a),Elwha E,2,Tributary,1,1,17,4.325916483,74.63479911
3185,Elwha D,2,Tributary,2,0,38,4.107510524,59.79518088
4368,Elwha B,2,Tributary,2,0,38,3.929873084,49.90051717
4896,Elwha E,2,Tributary,2,0,38,4.205087913,66.02648991
7066,Elwha C,2,Tributary,2,1,38,4.066867027,57.37379229
8510,Elwha A,2,Tributary,2,0,38,4.095001647,59.03943804
3199,Elwha D,2,Tributary,3,0,45,3.855886652,46.27051086
3850,Elwha E,2,Tributary,3,0,45,4.047466631,56.25223214
4933,Elwha C,2,Tributary,3,0,45,4.000348651,53.61718905
4947,Elwha A,2,Tributary,3,0,45,4.168885881,63.64339154
8481,Elwha B,2,Tributary,3,0,45,4.086544551,58.5338198
2314,Elwha B,3,Tributary,1,0,17,4.143061341,61.99537689
2567,Elwha D,3,Tributary,1,0,17,4.162672295,63.24296959
3973,Elwha E,3,Tributary,1,0,17,4.219193254,66.97862068
7304,Elwha C,3,Tributary,1,0,17,4.202942129,65.88281974
8844,Elwha A,3,Tributary,1,0,17,4.161937388,63.19577432
3772,Elwha D,3,Tributary,2,0,38,3.63279381,36.81832638
4917,Elwha E,3,Tributary,2,0,38,3.928899879,49.85100463
4932,Elwha A,3,Tributary,2,0,38,4.105845751,59.6940549
8296,Elwha C,3,Tributary,2,0,38,3.832880342,45.19540536
200(b),Elwha B,3,Tributary,2,0,38,3.119409601,21.63301319
25,Elwha B,3,Tributary,3,1,45,3.066853019,20.47421727
26,Elwha C,3,Tributary,3,1,45,3.138251967,22.06351581
190,Elwha D,3,Tributary,3,0,45,3.315167443,26.5270028
463,Elwha A,3,Tributary,3,0,45,0,0
3063,Elwha E,3,Tributary,3,0,45,3.892520776,48.03433544
46,Elwha E,4,Tributary,1,0,16,4.261180543,69.89362705
339,Elwha A,4,Tributary,1,0,16,4.091387616,58.82284527
474,Elwha D,4,Tributary,1,1,16,4.118949332,60.4945979
494,Elwha C,4,Tributary,1,0,16,4.15618104,62.82730265
4397,Elwha B,4,Tributary,1,0,16,4.213555764,66.59647008
171,Elwha C,4,Tributary,2,1,37,3.078526698,20.7263693
340,Elwha E,4,Tributary,2,1,37,2.432346349,10.38556527
5865,Elwha D,4,Tributary,2,0,37,1.466163357,3.332580648
4 (b),Elwha B,4,Tributary,2,1,37,3.636277599,36.95030721
29,Elwha B,4,Tributary,3,0,44,2.877078901,16.76231185
39,Elwha A,4,Tributary,3,0,44,3.716031086,40.10094385
969,Elwha D,4,Tributary,3,0,44,0,0
5158,Elwha E,4,Tributary,3,0,44,4.627885715,101.2975491
10078,Elwha C,4,Tributary,3,0,44,0.622908114,0.864341885
15,Elwha C,5,Middle Elwha,1,1,16,4.290371011,71.99354488
283,Elwha D,5,Middle Elwha,1,0,16,3.936663474,50.24732769
1044,Elwha A,5,Middle Elwha,1,1,16,4.314535202,73.7788583
10069,Elwha E,5,Middle Elwha,1,0,16,4.320654216,74.23783399
220,Elwha B,5,Middle Elwha,1,5,16,4.231956033,67.85177689
402,Elwha D,5,Middle Elwha,2,0,37,3.841617435,45.60078726
413,Elwha B,5,Middle Elwha,2,0,37,3.963910675,51.66287115
4918,Elwha E,5,Middle Elwha,2,1,37,3.921825575,49.49253861
10 (b),Elwha C,5,Middle Elwha,2,1,37,3.994917705,53.32137006
16 (b),Elwha A,5,Middle Elwha,2,0,37,3.960041601,51.45950827
38,Elwha A,5,Middle Elwha,3,0,44,3.748945235,41.4762559
1639,Elwha B,5,Middle Elwha,3,1,44,3.87073383,46.97758055
2391,Elwha C,5,Middle Elwha,3,0,44,3.690639705,39.07047204
2447,Elwha E,5,Middle Elwha,3,0,44,3.867559436,46.82552228
7380,Elwha D,5,Middle Elwha,3,0,44,3.685390466,38.86068365
154,Elwha A,6,Middle Elwha,1,1,17,4.170089999,63.7212767
492,Elwha D,6,Middle Elwha,1,0,17,4.226726096,67.49262642
1724,Elwha C,6,Middle Elwha,1,0,17,4.184009367,64.62845499
3103,Elwha E,6,Middle Elwha,1,0,17,4.171228222,63.79498588
11529,Elwha B,6,Middle Elwha,1,1,17,4.079391528,58.10949243
187,Elwha C,6,Middle Elwha,2,0,38,3.859637439,46.4481454
