"","region","sample","location","site","category","harvest","mills","trib","middle","reservoir","lower","delta","year","season","date","width","CC","fines","D50","temp","cond","p","n","po4","sio4","no3","no2","nh4","chla","omRock","imRock","omSeston","imSeston","BIden","shred","sarah","Et","k20","GPP","ER","Rp","Rb","G","NEP","MinT","MaxT","MeanT","k","depth","elevation","no2no3","rhytisma"
"new1","Aldwell Reservoir"," EM MS   LA2 wk1","10","EMMSLA2","AR","1","other","other","other","Aldwell","other","other","2017","Summer"," 80817","46.6","  6"," 4"," 60.00","13.1"," 67.800","12.46","136.78"," 9.08","2399.82","  3.01","0.41","  3.64","0.4100","0.11"," 0.43","0.1000","1.5000","1748.6","0.0706","EMMSLA2-080817","0.00","0.31","2349.3","3506.5","  0.0","3506.5","1475.1","-1157.2","12.486","16.803","14.13743","0.012282","41"," 53.7410"," 15.70","13"
"new2","Aldwell Reservoir"," EM MS LA 4 wk1","11","EMMSLA4","AR","1","other","other","other","Aldwell","other","other","2017","Summer"," 81017","72.3"," 19"," 1"," 78.00","14.0"," 95.200","16.36","131.59"," 3.48","2237.94","  4.99","0.24","  7.80","1.4800","0.53"," 4.02","1.3000","2.6000","3192.0","0.0282","EMMSLA4-081017","0.65","0.17"," 630.1","1467.4","  0.0","1467.4","1050.5"," -837.3","11.575","17.814","14.39932","0.021132","35"," 57.3400"," 28.80"," 7"
"new3","Aldwell Reservoir"," EM MS LA5 wk1","12","EMMSLA5","AR","1","other","other","other","Aldwell","other","other","2017","Summer"," 81017","28.7"," 23"," 7"," 69.00","13.9","101.800","13.22","138.40"," 7.58","2088.13","  5.46","0.41"," 70.79","0.2300","0.06"," 0.20","1.1000","1.3000"," 958.2","0.0154","EMMSLA5-081017","0.00","0.19","1441.6","2415.8","  0.0","2415.6","1127.1"," -974.2","11.592","17.894","14.44973","0.095203","40"," 60.2680","  8.40"," 2"
"new4","Lower Elwha"," EL MS FW wk1","13","ELMSFW","EL","1","other","other","other","other","Lower","other","2017","Summer"," 81117","72.5"," 61"," 6"," 52.00","14.3"," 91.400","18.44","257.64"," 4.60","2391.50","  3.23","0.14"," 16.85","1.1600","0.55","10.28","1.2000","3.8000","2419.2","0.0417","ELMSFW-081117","0.00","0.46","2632.2","2304.6","  0.0","2297.9","2097.2","  327.6","11.699","17.273","14.20542","0.043913","36"," 17.9035"," 20.70"," 4"
"new5","Lower Elwha","EL MS FH wk1","14","ELMSFH","EL","1","other","other","other","other","Lower","other","2017","Summer"," 80717","48.8"," 25"," 0"," 81.00","16.8"," 82.300","18.39","135.70"," 2.90","2294.68","  1.86","0.30","  4.34","1.1700","0.16"," 1.11","1.6000","8.5000","3084.0","0.0506","ELMSFH-080717","0.00","0.21"," 622.9"," 659.7","  0.0"," 659.7"," 831.9","  -36.8","12.824","17.769","14.86860","0.024219","38"," 19.2455"," 32.80"," 5"
"new6","Lower Elwha"," EL MS HR wk1","15","ELMSHR","EL","1","other","other","other","other","Lower","other","2017","Summer"," 81017","28.1"," 46"," 0"," 60.00","16.9","100.500","13.75","131.09"," 5.67","2569.91","  5.17","0.19"," 50.98","1.9100","0.19"," 0.79","1.2000","1.1000","2568.0","0.1121","ELMSHR-081017","0.00","0.35","5967.7","6457.3","  0.0","6457.3","1937.8"," -489.6","11.823","17.769","14.72701","0.014815","24"," 16.2260"," 18.50"," 7"
"new7","Lower Elwha"," EL MS NM wk1","16","ELMSNM","EL","1","other","other","other","other","Lower","other","2017","Summer"," 80717","17.8"," 24","11"," 56.00","15.8","103.100","14.84","128.91"," 3.67","2604.06","  2.94","0.38"," 13.52","0.4500","0.12"," 0.64","1.3000","3.4000"," 961.7","0.0250","ELMSNM-080717","0.14","0.24","1341.0","1619.8","  0.0","1619.8","1650.2"," -278.9","12.275","17.328","14.55588","0.016088","37"," -7.7775"," 14.10"," 7"
"new8","Estuary/Delta"," East New Estuary Wk1","17","EP7","ED","1","other","other","other","other","other","Delta","2016","Fall"," 92816",NA,"  0"," 4","  0.40","11.6","  0.296",NA,NA,"10.33",NA,NA,NA,"122.26","0.0002",NA,NA,"0.0016","0.0038",NA,NA,"EP7-092816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.009289","42","  0.6100"," 39.78"," 3"
"new9","Estuary/Delta","ES1 wk1 ","19","ES1","ED","1","other","other","other","other","other","Delta","2016","Fall","100216",NA,"  0","36","  0.09","12.5","  0.495",NA,NA," 5.65",NA,NA,NA," 19.85","0.0010",NA,NA,"0.0021","0.0007",NA,NA,"ES1-100216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.009767","45"," -0.8540","  8.84","10"
"new11","Estuary/Delta"," ES2  New wk1","20","SSS-EP1","ED","1","other","other","other","other","other","Delta","2016","Fall"," 92816",NA,"  0","14","  0.24","13.5","  1.388",NA,NA,"12.21",NA,NA,NA," 51.73","0.0010",NA,NA,"0.0015","0.0023",NA,NA,"EP1-092816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.011725","35"," -1.5555"," 12.56"," 6"
