ID,source,location,region,harvest,rhytisma,days,lnpAFDMR
4973,Elwha B,1,Tributary,2,1,37,3.964132934
3043,Elwha C,1,Tributary,1,1,16,4.228099382
4128,Elwha E,1,Tributary,1,0,16,4.189583691
6015,Elwha A,1,Tributary,1,1,16,4.102332988
7028,Elwha D,1,Tributary,1,1,16,4.196724081
2884,Elwha C,1,Tributary,2,0,37,4.083019433
3518,Elwha D,1,Tributary,2,0,37,4.034780381
4895,Elwha B,1,Tributary,1,0,16,4.43902977
5155,Elwha E,1,Tributary,2,1,37,4.012577615
5788,Elwha A,1,Tributary,2,0,37,3.865591263
1179,Elwha E,1,Tributary,3,0,44,4.096535582
1803,Elwha C,1,Tributary,3,0,44,3.871522354
1932,Elwha A,1,Tributary,3,0,44,3.850007032
3788,Elwha D,1,Tributary,3,1,44,3.869581036
2715,Elwha B,1,Tributary,3,4,44,3.889274788
2145,Elwha D,2,Tributary,1,0,17,4.375342789
4451,Elwha B,2,Tributary,1,0,17,4.341962021
4725,Elwha A,2,Tributary,1,0,17,4.271609075
7997,Elwha C,2,Tributary,1,0,17,4.334630805
16 (a),Elwha E,2,Tributary,1,1,17,4.325916483
3185,Elwha D,2,Tributary,2,0,38,4.107510524
4368,Elwha B,2,Tributary,2,0,38,3.929873084
4896,Elwha E,2,Tributary,2,0,38,4.205087913
7066,Elwha C,2,Tributary,2,1,38,4.066867027
8510,Elwha A,2,Tributary,2,0,38,4.095001647
3199,Elwha D,2,Tributary,3,0,45,3.855886652
3850,Elwha E,2,Tributary,3,0,45,4.047466631
4933,Elwha C,2,Tributary,3,0,45,4.000348651
4947,Elwha A,2,Tributary,3,0,45,4.168885881
8481,Elwha B,2,Tributary,3,0,45,4.086544551
2314,Elwha B,3,Tributary,1,0,17,4.143061341
2567,Elwha D,3,Tributary,1,0,17,4.162672295
3973,Elwha E,3,Tributary,1,0,17,4.219193254
7304,Elwha C,3,Tributary,1,0,17,4.202942129
8844,Elwha A,3,Tributary,1,0,17,4.161937388
3772,Elwha D,3,Tributary,2,0,38,3.63279381
4917,Elwha E,3,Tributary,2,0,38,3.928899879
4932,Elwha A,3,Tributary,2,0,38,4.105845751
8296,Elwha C,3,Tributary,2,0,38,3.832880342
200(b),Elwha B,3,Tributary,2,0,38,3.119409601
25,Elwha B,3,Tributary,3,1,45,3.066853019
26,Elwha C,3,Tributary,3,1,45,3.138251967
190,Elwha D,3,Tributary,3,0,45,3.315167443
463,Elwha A,3,Tributary,3,0,45,0
3063,Elwha E,3,Tributary,3,0,45,3.892520776
46,Elwha E,4,Tributary,1,0,16,4.261180543
339,Elwha A,4,Tributary,1,0,16,4.091387616
474,Elwha D,4,Tributary,1,1,16,4.118949332
494,Elwha C,4,Tributary,1,0,16,4.15618104
4397,Elwha B,4,Tributary,1,0,16,4.213555764
171,Elwha C,4,Tributary,2,1,37,3.078526698
340,Elwha E,4,Tributary,2,1,37,2.432346349
5865,Elwha D,4,Tributary,2,0,37,1.466163357
4 (b),Elwha B,4,Tributary,2,1,37,3.636277599
29,Elwha B,4,Tributary,3,0,44,2.877078901
39,Elwha A,4,Tributary,3,0,44,3.716031086
969,Elwha D,4,Tributary,3,0,44,0
5158,Elwha E,4,Tributary,3,0,44,4.627885715
10078,Elwha C,4,Tributary,3,0,44,0.622908114
15,Elwha C,5,Middle Elwha,1,1,16,4.290371011
283,Elwha D,5,Middle Elwha,1,0,16,3.936663474
1044,Elwha A,5,Middle Elwha,1,1,16,4.314535202
10069,Elwha E,5,Middle Elwha,1,0,16,4.320654216
220,Elwha B,5,Middle Elwha,1,5,16,4.231956033
402,Elwha D,5,Middle Elwha,2,0,37,3.841617435
413,Elwha B,5,Middle Elwha,2,0,37,3.963910675
4918,Elwha E,5,Middle Elwha,2,1,37,3.921825575
10 (b),Elwha C,5,Middle Elwha,2,1,37,3.994917705
16 (b),Elwha A,5,Middle Elwha,2,0,37,3.960041601
38,Elwha A,5,Middle Elwha,3,0,44,3.748945235
1639,Elwha B,5,Middle Elwha,3,1,44,3.87073383
2391,Elwha C,5,Middle Elwha,3,0,44,3.690639705
2447,Elwha E,5,Middle Elwha,3,0,44,3.867559436
7380,Elwha D,5,Middle Elwha,3,0,44,3.685390466
154,Elwha A,6,Middle Elwha,1,1,17,4.170089999
492,Elwha D,6,Middle Elwha,1,0,17,4.226726096
1724,Elwha C,6,Middle Elwha,1,0,17,4.184009367
3103,Elwha E,6,Middle Elwha,1,0,17,4.171228222
11529,Elwha B,6,Middle Elwha,1,1,17,4.079391528
187,Elwha C,6,Middle Elwha,2,0,38,3.859637439
519,Elwha A,6,Middle Elwha,2,1,38,3.905418524
1426,Elwha E,6,Middle Elwha,2,0,38,3.898609232
3707,Elwha D,6,Middle Elwha,2,0,38,1.653377628
4883,Elwha B,6,Middle Elwha,2,0,38,3.554464807
34,Elwha D,6,Middle Elwha,3,0,45,2.826872322
124,Elwha C,6,Middle Elwha,3,1,45,2.06209956
142,Elwha B,6,Middle Elwha,3,0,45,0.187305492
166,Elwha A,6,Middle Elwha,3,1,45,1.517188736
3192,Elwha E,6,Middle Elwha,3,0,45,0
457,Elwha C,7,Middle Elwha,1,1,16,4.152553361
1854,Elwha E,7,Middle Elwha,1,0,16,4.267782588
4879,Elwha B,7,Middle Elwha,1,0,16,4.273697093
6467,Elwha A,7,Middle Elwha,1,0,16,4.268086675
9522,Elwha D,7,Middle Elwha,1,0,16,4.063233232
305,Elwha D,7,Middle Elwha,2,1,37,0
444,Elwha B,7,Middle Elwha,2,0,37,0
645,Elwha C,7,Middle Elwha,2,0,37,3.809102391
3842,Elwha A,7,Middle Elwha,2,1,37,3.892309543
4322,Elwha E,7,Middle Elwha,2,0,37,2.354024386
2259,Elwha E,7,Middle Elwha,3,0,44,2.000155941
6815,Elwha D,7,Middle Elwha,3,0,44,3.898694756
11367,Elwha A,7,Middle Elwha,3,0,44,1.100697119
12101,Elwha C,7,Middle Elwha,3,0,44,0.51436773
330 (a),Elwha B,7,Middle Elwha,3,0,44,0.867576404
277,Elwha E,8,Middle Elwha,1,0,16,4.284149365
1728,Elwha D,8,Middle Elwha,1,0,16,4.305465586
3755,Elwha A,8,Middle Elwha,1,0,16,4.303861153
10085,Elwha B,8,Middle Elwha,1,2,16,4.280254657
11535,Elwha C,8,Middle Elwha,1,0,16,4.238208994
290,Elwha A,8,Middle Elwha,2,0,37,2.739656874
307,Elwha E,8,Middle Elwha,2,2,37,3.489491778
394,Elwha C,8,Middle Elwha,2,0,37,3.993884859
998,Elwha D,8,Middle Elwha,2,0,37,3.253980093
4950,Elwha B,8,Middle Elwha,2,0,37,3.577553521
221,Elwha A,8,Middle Elwha,3,0,44,3.43498056
436,Elwha D,8,Middle Elwha,3,0,44,3.107539243
3059,Elwha E,8,Middle Elwha,3,0,44,3.458085373
4453,Elwha C,8,Middle Elwha,3,1,44,3.688109642
6987,Elwha B,8,Middle Elwha,3,0,44,2.570256618
28,Elwha E,9,Aldwell Reservoir,1,0,16,4.321102801
362,Elwha B,9,Aldwell Reservoir,1,0,16,4.31508161
422,Elwha D,9,Aldwell Reservoir,1,0,16,4.206975032
459,Elwha C,9,Aldwell Reservoir,1,5,16,4.3141157
4 (a),Elwha A,9,Aldwell Reservoir,1,0,16,4.341370711
3,Elwha A,9,Aldwell Reservoir,2,0,37,4.233094816
21,Elwha B,9,Aldwell Reservoir,2,0,37,4.059400378
255,Elwha C,9,Aldwell Reservoir,2,4,37,4.177367557
341,Elwha E,9,Aldwell Reservoir,2,0,37,4.209175324
377,Elwha D,9,Aldwell Reservoir,2,0,37,4.14092324
6,Elwha A,9,Aldwell Reservoir,3,0,44,3.870769078
30,Elwha E,9,Aldwell Reservoir,3,0,44,3.915769513
113,Elwha D,9,Aldwell Reservoir,3,2,44,3.887367392
387,Elwha C,9,Aldwell Reservoir,3,1,44,3.912338665
24 (a),Elwha B,9,Aldwell Reservoir,3,1,44,4.058947906
295,Elwha C,10,Aldwell Reservoir,1,0,16,4.239761625
423,Elwha D,10,Aldwell Reservoir,1,0,16,4.183621688
1013,Elwha B,10,Aldwell Reservoir,1,3,16,4.326359534
7265,Elwha A,10,Aldwell Reservoir,1,0,16,4.265879554
12109,Elwha E,10,Aldwell Reservoir,1,0,16,4.2518427
77,Elwha E,10,Aldwell Reservoir,2,2,37,4.257027694
354,Elwha D,10,Aldwell Reservoir,2,2,37,4.066267867
486,Elwha C,10,Aldwell Reservoir,2,1,37,4.067986829
4981,Elwha B,10,Aldwell Reservoir,2,1,37,4.216601114
8 (a),Elwha A,10,Aldwell Reservoir,2,0,37,4.124447915
207,Elwha C,11,Aldwell Reservoir,1,0,16,4.278885644
328,Elwha E,11,Aldwell Reservoir,1,0,16,4.274928762
418,Elwha A,11,Aldwell Reservoir,1,3,16,4.346460683
434,Elwha D,11,Aldwell Reservoir,1,0,16,4.200903028
11444,Elwha B,11,Aldwell Reservoir,1,1,16,4.203177744
265,Elwha B,11,Aldwell Reservoir,2,0,37,3.806027394
342,Elwha D,11,Aldwell Reservoir,2,1,37,4.003081454
373,Elwha C,11,Aldwell Reservoir,2,0,37,3.841068134
2565,Elwha E,11,Aldwell Reservoir,2,2,37,3.809522471
8 (b),Elwha A,11,Aldwell Reservoir,2,0,37,3.594635664
115,Elwha A,11,Aldwell Reservoir,3,0,44,3.893651477
286,Elwha B,11,Aldwell Reservoir,3,0,44,3.674090092
302,Elwha C,11,Aldwell Reservoir,3,0,44,3.478099809
3419,Elwha E,11,Aldwell Reservoir,3,0,44,3.779322835
330 (b),Elwha D,11,Aldwell Reservoir,3,0,44,3.639814944
155,Elwha A,12,Aldwell Reservoir,1,0,16,4.229392279
367,Elwha C,12,Aldwell Reservoir,1,0,16,4.229634734
855,Elwha E,12,Aldwell Reservoir,1,0,16,4.153971572
4227,Elwha D,12,Aldwell Reservoir,1,0,16,4.213808345
9 (b),Elwha B,12,Aldwell Reservoir,1,0,16,4.197579174
245,Elwha C,12,Aldwell Reservoir,2,0,37,0
439,Elwha A,12,Aldwell Reservoir,2,0,37,1.373442684
4894,Elwha E,12,Aldwell Reservoir,2,1,37,0
7462,Elwha D,12,Aldwell Reservoir,2,0,37,3.814104863
12 (a),Elwha B,12,Aldwell Reservoir,2,0,37,2.388302807
13,Elwha A,12,Aldwell Reservoir,3,1,44,0
22,Elwha B,12,Aldwell Reservoir,3,0,44,0
35,Elwha C,12,Aldwell Reservoir,3,0,44,0
1766,Elwha D,12,Aldwell Reservoir,3,0,44,1.862417362
4767,Elwha E,12,Aldwell Reservoir,3,0,44,1.229101955
149,Elwha B,13,Lower Elwha,1,0,17,4.237271915
257,Elwha C,13,Lower Elwha,1,0,17,4.075292425
378,Elwha A,13,Lower Elwha,1,0,17,4.346724787
4893,Elwha D,13,Lower Elwha,1,0,17,4.306383111
5272,Elwha E,13,Lower Elwha,1,0,17,4.207277944
232,Elwha A,13,Lower Elwha,2,0,38,3.471171408
485,Elwha C,13,Lower Elwha,2,0,38,3.763110505
1983,Elwha B,13,Lower Elwha,2,0,38,3.827708578
3589,Elwha D,13,Lower Elwha,2,2,38,2.459590003
5471,Elwha E,13,Lower Elwha,2,0,38,3.626653547
211,Elwha C,13,Lower Elwha,3,0,46,2.90992721
1087,Elwha A,13,Lower Elwha,3,0,46,2.419337797
1257,Elwha B,13,Lower Elwha,3,0,46,3.622444609
1701,Elwha D,13,Lower Elwha,3,2,46,0
10072,Elwha E,13,Lower Elwha,3,0,46,3.266810839
2094,Elwha A,14,Lower Elwha,1,0,17,4.248946179
4930,Elwha D,14,Lower Elwha,1,2,17,4.133019753
8962,Elwha B,14,Lower Elwha,1,0,17,4.321549659
9305,Elwha C,14,Lower Elwha,1,0,17,4.336912959
10849,Elwha E,14,Lower Elwha,1,1,17,4.135663093
49,Elwha B,14,Lower Elwha,2,0,38,3.928855932
890,Elwha E,14,Lower Elwha,2,0,38,4.006158395
5392,Elwha C,14,Lower Elwha,2,0,38,4.003172467
5750,Elwha A,14,Lower Elwha,2,0,38,3.313379844
9112,Elwha D,14,Lower Elwha,2,0,38,3.587642765
1067,Elwha D,14,Lower Elwha,3,0,46,3.526735299
1729,Elwha C,14,Lower Elwha,3,0,46,3.000747645
4906,Elwha A,14,Lower Elwha,3,2,46,3.270293064
6018,Elwha B,14,Lower Elwha,3,0,46,3.700436699
10092,Elwha E,14,Lower Elwha,3,0,46,3.845773173
1040,Elwha D,15,Lower Elwha,1,1,17,4.380382644
1174,Elwha C,15,Lower Elwha,1,2,17,4.314852052
1434,Elwha A,15,Lower Elwha,1,3,17,4.327188089
2596,Elwha E,15,Lower Elwha,1,0,17,4.325322233
2759,Elwha B,15,Lower Elwha,1,,17,4.254632621
1979,Elwha C,15,Lower Elwha,2,0,38,4.201155289
4726,Elwha E,15,Lower Elwha,2,0,38,4.199194791
9114,Elwha B,15,Lower Elwha,2,0,38,3.95285044
