,harvest,region,mills,trib,middle,reservoir,lower,delta,location,Sum,Rich,RichF,SimpF,DivF,id,k,Depth,site,CATEGORY,year,season,date,width,CC,Fines,D50,Temp,Cond,P,n,po4,SiO4,No3,no2,nh4,no2no3,Chla,omRock,imRock,OM,imSeston,BI,SH,site,lat,long,rkm,Elev,Et,k20,GPP,ER,Rp,Rb,G,NEP,MinT,MaxT,MeanT,Sed1,Sed2,Sed3,Sed4,Sed5,Sed6,Sed7,Sed8,Sed9,Sed10,Sed11,Sed12,SedTot,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,EvenM,DivM,SimpsonM,Fine,Gravel,Cobble,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6
sa.1,1,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,21,NA,NA,74.04996274,1.044490582,1.166413285,Elwha11,NA,NA,EUMSWB,MR,2017,Summer,80917,55,6,10,81,12.9,94.4,11.23,112.29,9.41,2311.49,2.39,0.28,98.05,NA,0.47,0.2,0.52,0.9,0.7,1841.1,0.0596,EUMSWB,47.9745,-123.594,24.6,182,0.47,0.59,535.9,1572.5,289.5,1288.4,1038.3,-1036.6,11.681,14.321,12.97821,0.341607258,1,1.25,1.2,3.57,1.61,5.515,12.729,30.095,49.177,101.1,0,207.5876073,0.001645605,0.004817243,0.006021554,0.005780692,0.017197558,0.007755762,0.026567097,0.061318689,0.144974936,0.236897571,0.487023293,NA,NA,NA,0.018265094,0.257814042,0.723920864,NA,NA,NA,NA,NA,NA
sa.2,1,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,22,NA,NA,72.4996165,1.535718595,2.737438948,Elwha13,NA,NA,EUMSBC,MR,2017,Summer,80917,16.3,0,9,71,14.9,90.6,10.6,147.43,5.42,2103.8,2.33,0.29,26.23,NA,0.34,0.13,0.35,0.9,0.3,338.4,0.052,EUMSBC,47.9848,-123.601,23.1,181,0.18,1.13,3027,8959.1,756.7,8187.9,5916.7,-5932,11.987,14.506,13.17698,0.058733277,0.275,0.825,0.83,3.08,1.62,5.05,14.172,25.032,16.252,189.6,0,256.7947333,0.000228717,0.001070894,0.003212683,0.003232154,0.011994015,0.006308541,0.019665512,0.055188048,0.097478635,0.063287902,0.7383329,NA,NA,NA,0.007744447,0.190634751,0.801620802,NA,NA,NA,NA,NA,NA
sa.3,1,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,23,NA,NA,67.16619071,1.211395868,1.575984777,Elwha14,NA,NA,EUMSWA,MR,2017,Summer,80917,49.1,17,5,130,13,90.6,12.23,143.22,7.63,2042.2,4.42,0.17,74.1,NA,0.91,0.3,2.47,0.6,0.5,820.5,0.0896,EUMSWA,47.9921,-123.604,22.2,181,1.04,0.16,644,1496.4,378.3,1120.6,846.4,-852.3,11.922,14.798,13.2247,0.473026004,1.65,2.1,1.555,5.97,2.3,5.72,14.407,42.038,113.863,35.4,0,225.476026,0.002097899,0.007317851,0.009313629,0.00689652,0.026477316,0.010200641,0.025368551,0.063895928,0.186441107,0.504989386,0.15700117,NA,NA,NA,0.0256259,0.312383544,0.661990557,NA,NA,NA,NA,NA,NA
sa.4,1,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,24,NA,NA,66.89980438,1.662794487,2.827642162,Elwha15,NA,NA,EUMSSC,MR,2017,Summer,80917,33.3,2,2,90,14.4,97.6,12.66,140.23,4.22,2136.98,3.77,0.2,12.97,NA,0.74,0.16,0.62,0.7,1.9,989.5,0.0802,EUMSSC,47.9988,-123.604,21.3,181,0.32,0.5,1364.5,1965.7,0,1954.4,1289.4,-601.2,11.849,15.007,13.25978,0.20950056,0.77,0.94,0.743,2.275,1.275,4.865,11.839,24.433,98.795,0,0,146.1445006,0.001433517,0.005268758,0.00643199,0.005084009,0.015566785,0.008724242,0.033288971,0.081008864,0.167183848,0.676009016,0,NA,NA,NA,0.018218274,0.30577271,0.676009016,NA,NA,NA,NA,NA,NA
sa.5,1,Tributary,Other,Tributary,Other,Other,Other,Other,1,65,11,118.1808419,5.760129469,10.06000983,Elwha20,0.015385,32,EMTRGC,TR,2017,Summer,80917,4.6,95,9,44,13.3,145.5,24.23,124.91,5.04,4502.05,11.76,0.51,19.97,27.2,0.45,0.06,0.08,4.8,4.8,1704,0.007,EMTRGC,48.0159,-123.5897,19.2,113,0,0.66,277.9,4280.8,87.2,4194.7,4018.6,-4002.9,10.48,14.057,12.23568,0.071446462,0.585,1.405,1.045,2.705,1.02,3.995,12.486,9.121,159.45,95.6,0,287.4834465,0.000248524,0.0020349,0.004887238,0.003634992,0.009409237,0.00354803,0.013896452,0.043432066,0.031727044,0.55464063,0.332540886,0.772,1.851,0.7863,0.010805653,0.10201283,0.887181516,-0.574480752,-3.695901438,3.115781332,-0.138049932,1.43090458,-2.115057572
sa.6,1,Tributary,Other,Tributary,Other,Other,Other,Other,2,82,10,51.12495381,1.911833767,3.685336327,Elwha21,0.01298,20,EMTRMC,TR,2017,Summer,80817,3.3,89,14,42,13.7,177.6,22.68,151.22,9.64,6985.1,11.48,0.23,9.1,17.4,2.3,0.31,0.3,0.4,0.2,857.6,0.1045,EMTRMC,48.045,-123.5905,15.1,74,0.37,0.05,498.4,2539.5,336,2205.6,2045.4,-2041.1,12.394,15.141,13.64899,0.0390218,0.01,0.025,0.045,1.465,0.94,5.65,15.783,6.631,0,0,0,30.5880218,0.001275722,0.000326925,0.000817313,0.001471164,0.047894565,0.030730984,0.184712828,0.515986294,0.216784205,0,0,0.734,1.69,0.7308,0.003891124,0.996108876,0,6.183004858,1.254450971,-1.812249329,3.396870005,-0.780277593,0.646421031
sa.7,1,Tributary,Other,Tributary,Other,Other,Other,Other,3,146,8,59.49985596,1.899879811,3.48178679,Elwha22,0.037153,33,EMTRLLR,TR,2017,Summer,80817,6.1,98,10,70,14,158.6,19.72,199.2,12.73,5538.37,39.89,0.68,162.14,57.8,1.42,0.12,0.09,1.4,0.9,606.5,0,EMTRLLR,48.0634,-123.5742,12,66,0.2,0.9,2837.8,7673.4,0,7673.4,4909.8,-4835.6,10.03,14.286,12.37166,0.244510546,0.095,1.465,1.295,3.5,1.555,4.68,18.713,23.96,35.511,0,0,91.01851055,0.002686383,0.001043744,0.016095627,0.014227875,0.038453716,0.017084437,0.051418112,0.205595542,0.263243156,0.390151408,0,0.783,1.629,0.7387,0.034053629,0.575794964,0.390151408,3.684415994,0.145447778,3.733107386,-0.179809079,1.511377529,1.334301557
sa.8,1,Tributary,Other,Tributary,Other,Other,Other,Other,4,137,9,42.89952898,3.137531329,5.071918613,Elwha23,0.054106,27,EMTRIC1,TR,2017,Summer,81017,12.7,100,8,73,14.9,185.9,28.32,270.71,17.35,5686.3,110.54,0.68,162.37,131.6,0.84,0.09,0.12,4,2.6,373.6,0.0171,EMTRIC1,48.0664,-123.5846,11.2,68,0.48,0.63,1134.1,4216.8,350.7,3865.9,3083,-3082.6,13.561,16.078,14.85335,0.018274812,0.01,0.08,0.18,1.31,0.86,3.385,15.687,27.498,61.377,0,0,110.4052748,0.000165525,9.06E-05,0.000724603,0.001630357,0.011865375,0.007789483,0.030659767,0.142085603,0.249064187,0.555924525,0,0.734,1.613,0.7399,0.00261106,0.441464414,0.555924525,5.327554557,-6.4414507,2.369963531,0.166717631,-0.231024462,0.287675013
sa.9,1,Middle Elwha,Other,Other,Middle,Other,Other,Other,5,357,10,78.33264145,4.763641876,6.668546888,Elwha19,0.018219,37,EMMSTF,EM,2017,Summer,80817,55.1,18,1,93,16.9,99.3,24.39,250.2,4.8,2283.75,2.2,0.32,4.31,3.6,0.4,0.12,0.47,0.7,0.2,744,0.019,EMMSTF,48.0606,-123.581,13.1,64,0,0.77,2095.3,4809.2,0,4809.2,3205.6,-2713.9,12.359,16.474,13.96971,0.503284244,0.35,0.94,0.84,3.08,1.9,6.61,21.867,33.411,76.986,317.6,0,464.0872842,0.00108446,0.000754168,0.002025481,0.001810004,0.006636683,0.004094057,0.01424301,0.047118292,0.071992923,0.165886898,0.684354023,0.53,1.219,0.6186,0.005674114,0.144084965,0.850240921,-4.306108132,-1.733224095,0.944177891,1.941919584,-0.808587545,4.177886068
sa.10,1,Middle Elwha,Other,Other,Middle,Other,Other,Other,6,481,9,32.57134556,1.054245525,1.185206268,Elwha18,0.062376,56,EMMSMC,EM,2017,Summer,80817,54.5,19,4,65,16.5,90.3,12.02,148.92,3.3,2153.42,0.61,0.14,12.98,2.8,0.87,0.38,1.74,1,2.4,1902.9,0.045,EMMSMC,48.0438,-123.5917,15.2,75,0,0.27,5298.6,6113.8,15.8,6080,1001.5,-815.2,11.269,17.006,14.10266,0.290545822,1.12,0.91,0.925,5.09,2.655,7.35,21.654,30.297,112.338,126.8,0,309.4295458,0.000938972,0.003619564,0.002940896,0.002989372,0.016449625,0.008580305,0.023753388,0.069980389,0.097912434,0.363048718,0.409786337,0.452,0.993,0.5593,0.010488804,0.216676141,0.772835055,-4.37100216,0.714013718,0.62469201,1.168765295,0.990595264,1.214040037
