location,region,k,error,pvalue,depth,elevation,chla,omRock,imRock,omSeston,imSeston,temp,cond,width,p,n,po4,sio4,no3,no2,nh4,no2no3,fines,D50,BIden,shred,CC,site,year,season,rhytisma,rkm,Sed1,Sed2,Sed3,Sed4,Sed5,Sed6,Sed7,Sed8,Sed9,Sed10,Sed11,Sed12,SedTot,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,EvenM,Div,SimpsonM,Sum,Rich,RichF,SimpF,ShanF
1,Tributary,0.015385,0.001309,0.0001,32,123.647,0.16,0.05,0.07,0.0028,0.0046,9.5,160.3,3.9,31.1,345.3,14.3,3372.7,26.5,0.7,113.4,27.2,2,50,1289.4,9.85,97,EMTRGC-100316,2016,Fall,10,19.2,0.071446462,0.585,1.405,1.045,2.705,1.02,3.995,12.486,9.121,159.45,95.6,0,287.4834465,0.000248524,0.0020349,0.004887238,0.003634992,0.009409237,0.00354803,0.013896452,0.043432066,0.031727044,0.55464063,0.332540886,0.772,1.851,0.7863,65,11,118.1808419,5.760129469,10.06000983
2,Tributary,0.01298,0.001006,0.0001,20,78.019,0.62,0.23,0.36,0.0007,0.0006,11.3,184.4,3.8,38.5,594.6,2.6,9833.7,16.6,0.8,5.8,17.4,10,56,2685,6.15,95,EMTRMC-100416,2016,Fall,2,15.1,0.0390218,0.01,0.025,0.045,1.465,0.94,5.65,15.783,6.631,0,0,0,30.5880218,0.001275722,0.000326925,0.000817313,0.001471164,0.047894565,0.030730984,0.184712828,0.515986294,0.216784205,0,0,0.734,1.69,0.7308,82,10,51.12495381,1.911833767,3.685336327
3,Tributary,0.037153,0.01013,0.0018,33,77.226,0.22,0.05,0.07,0.0007,0,9.9,172.7,6.2,25.7,217.3,3.4,8614.4,57.4,0.4,4.4,57.8,6,71,2785,7.72,100,EMTRLLR-100416,2016,Fall,2,12,0.244510546,0.095,1.465,1.295,3.5,1.555,4.68,18.713,23.96,35.511,0,0,91.01851055,0.002686383,0.001043744,0.016095627,0.014227875,0.038453716,0.017084437,0.051418112,0.205595542,0.263243156,0.390151408,0,0.783,1.629,0.7387,146,8,59.49985596,1.899879811,3.48178679
4,Tributary,0.054106,0.013789,0.0011,27,70.9125,0.4,0.1,0.14,0.0008,0.0006,10.3,190.5,10.7,37.2,491.7,11.4,9414.7,131.2,0.4,3.1,131.6,5,50,3660,6.56,98,EMTRIC1-100616,2016,Fall,5,11.2,0.018274812,0.01,0.08,0.18,1.31,0.86,3.385,15.687,27.498,61.377,0,0,110.4052748,0.000165525,9.06E-05,0.000724603,0.001630357,0.011865375,0.007789483,0.030659767,0.142085603,0.249064187,0.555924525,0,0.734,1.613,0.7399,137,9,42.89952898,3.137531329,5.071918613
5,Elwha Middle,0.018219,0.001311,0.0001,37,65.148,0.53,0.16,0.64,0.0011,0.0052,9.5,112.2,28.3,19.4,151,5.5,3967.5,3.3,0.3,5.5,3.6,2,110,1251.8,5.26,16,EMMSTF-100516,2016,Fall,10,13.1,0.503284244,0.35,0.94,0.84,3.08,1.9,6.61,21.867,33.411,76.986,317.6,0,464.0872842,0.00108446,0.000754168,0.002025481,0.001810004,0.006636683,0.004094057,0.01424301,0.047118292,0.071992923,0.165886898,0.684354023,0.53,1.219,0.6186,357,10,78.33264145,4.763641876,6.668546888
6,Elwha Middle,0.062376,0.012316,0.0001,56,69.967,0.58,0.09,0.13,0.0006,0.0001,12.7,119.9,49.8,19.7,484.2,5,3933.5,2.6,0.3,14.8,2.8,6,49,5510,3.63,32,EMMSMC-100416,2016,Fall,5,15.2,0.290545822,1.12,0.91,0.925,5.09,2.655,7.35,21.654,30.297,112.338,126.8,0,309.4295458,0.000938972,0.003619564,0.002940896,0.002989372,0.016449625,0.008580305,0.023753388,0.069980389,0.097912434,0.363048718,0.409786337,0.452,0.993,0.5593,481,9,32.57134556,1.054245525,1.185206268
7,Elwha Middle,0.072687,0.014882,0.0001,36,90.1275,0.36,0.08,0.08,0.0008,0.0001,10,100.3,28.5,33,411.5,6,4175.9,10.1,0.2,4.6,10.4,6,51,5296,0.6,58,EMMSCG-100316,2016,Fall,3,17.4,0.213683479,0.465,1.475,0.935,2.775,1.445,6.3,26.623,33.52,32.866,0,0,106.6176835,0.002004203,0.004361378,0.013834478,0.008769652,0.026027577,0.013553099,0.059089635,0.249705294,0.314394375,0.308260308,0,0.704,1.805,0.7862,476,13,47.11942499,2.54961941,3.509415932
8,Elwha Middle,0.032707,0.003978,0.0001,36,110.2575,0.16,0.05,0.11,0.0007,0,10.3,124.6,44.3,30.4,350,4,4145.6,13,0.4,6.3,13.4,0,69,1554.3,8.64,14,EMMSAL-100316,2016,Fall,5,19.8,0.125021155,0.845,0.17,0.04,0.25,0.365,2.395,20.695,60.609,147.392,18.9,0,251.7860212,0.000496537,0.003356024,0.000675176,0.000158865,0.000992907,0.001449644,0.009512045,0.082192808,0.240716302,0.585385953,0.075063738,0.622,1.294,0.6635,134,8,56.3865269,4.724616103,6.715489298
9,Aldwell Reservoir,0.013816,0.001091,0.0001,33,51.484,0.57,0.19,0.35,0.0011,0.0031,10,112.1,66.2,68.2,460,6.9,4154,16.3,0.4,22.6,16.7,0,88,5930,6.41,13,EMMSLA1-100516,2016,Fall,13,12.2,0.266083245,0.525,0.92,0.958,3.37,1.665,5.225,12.032,27.416,115.569,83.2,0,251.1460832,0.001059476,0.002090417,0.003663207,0.003814513,0.013418485,0.006629608,0.020804625,0.047908372,0.109163558,0.460166444,0.331281296,0.159,0.407,0.1457,1336,13,87.56058093,5.221160116,6.864956359
10,Aldwell Reservoir,0.012282,0.001668,0.0001,41,53.741,0.36,0.08,0.35,0.0006,0.0039,9.9,114.9,36.4,24.4,496,5.5,4391.7,15.4,0.3,6.1,15.7,9,45,7280,4.76,19,EMMSLA2-100516,2016,Fall,13,11.3,0.079831774,0.255,0.905,0.91,1.925,1.29,5.22,16.722,23.007,57.796,112.5,0,220.6098318,0.000361869,0.001155887,0.004102265,0.004124929,0.008725812,0.005847428,0.023661683,0.075798979,0.10428819,0.261982884,0.509950074,0.159,0.407,0.1457,1336,13,60.04149707,2.001385646,2.217208085
11,Aldwell Reservoir,0.021132,0.001354,0.0001,35,57.34,0.61,0.19,0.95,0.0012,0.0127,12,113.5,31.7,33.9,312.2,4.7,4186.2,28.7,0.2,4.1,28.8,0,105,662.7,2.82,18,EMMSLA4-100516,2016,Fall,7,9.2,0.125416812,0.31,0.925,0.805,2.54,1.33,5.205,13.49,16.273,33.931,0,0,74.93441681,0.001673688,0.004136951,0.012344128,0.010742727,0.033896307,0.017748854,0.069460739,0.180024087,0.21716323,0.452809289,0,0.213,0.561,0.2234,1427,14,58.24993462,1.708643344,2.149750487
