,new1,new2,new3,new4,new5,new6,new7,new8,new9,new11,new12,new10,new13,new14,new15,new16,new17,new18,new19,new20,new21,new22,new23,new24,new25,new26,new27,new28,new29,new30,new31,new32,new33,new34,new35,new36,new37,new38,new39,new40,new41,new42,new43,new44,new45,new46,new47,new48
OTU.1,0,53,1,5,0,183,0,111,1,4,1,0,0,0,0,0,0,0,0,19,18,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
OTU.2,0,0,0,12,1,35,0,124,1,0,2,0,2,0,2,1,0,0,0,74,469,369,46,0,0,18,5,1,0,0,0,0,4,0,0,0,0,1,0,2,0,0,2,0,1,47,21,0
OTU.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU.4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,230,0,1,0
OTU.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU.6,1,2,4,40,18,14,33,2650,69,470,69,53,115,464,168,31,0,10,26,1171,4485,1773,227,55,133,491,54,83,93,21,86,252,109,22,174,99,41,251,37,457,463,594,2626,1373,1184,2652,575,195
OTU.7,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU.8,2,0,0,2,3,0,15,175,11,4,9,17,16,383,4,1,11,0,5,403,330,712,25,17,12,162,57,0,2,2,0,2,5,8,0,7,1,19,3,25,50,239,3299,0,199,736,50,9
OTU.9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU.10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
